Year,Midterm1,Midterm2,Final
2001,80.125,90.83333333,96.66666667
2001,87.5,78.33333333,93.33333333
2001,29.375,30,46.66666667
2001,97.5,96.66666667,98.33333333
2001,79.375,75.5,66.66666667
2001,82.5,57.5,80
2001,97.25,83.83333333,75
2001,80,85,80
2001,38.75,60,51.66666667
2001,67.5,62.5,66.66666667
2001,90,95.5,95
2001,33.125,41.66666667,81.66666667
2001,95,85,98.33333333
2001,63.125,70,73.33333333
2001,46.25,30,36.66666667
2001,50.625,30.83333333,40
2001,93.75,88.33333333,96.66666667
2001,58.125,63.33333333,26.66666667
2001,98.125,81.33333333,86.66666667
2001,66.25,80.83333333,36.66666667
2001,55.625,84.16666667,73.33333333
2001,50,72.5,46.66666667
2001,97.25,90.83333333,81.66666667
2001,79.125,77.5,80
2001,50.625,64.16666667,0
2001,61.25,95.83333333,93.33333333
2001,95,90,100
2001,55,80,88.33333333
2001,94.5,96.66666667,96.66666667
2001,85,86.66666667,50
2001,85,90,83.33333333
2001,47.5,50,45
2001,52.5,75,43.33333333
2001,94,95,91.66666667
2001,75,80,68.33333333
2001,54.375,73.33333333,68.33333333
2001,99.5,88.33333333,100
2001,43.125,51.66666667,36.66666667
2001,75,77.5,66.66666667
2001,73.75,91.33333333,78.33333333
2001,36.25,51.66666667,56.66666667
2001,54.375,77.66666667,70
2001,63.75,90,96.66666667
2001,70,89.16666667,66.66666667
2001,38.75,27.5,50
2001,97.25,90,96.66666667
2001,76.875,49.16666667,65
2001,68.75,67.5,60
2001,50.625,74.16666667,70
2001,61.875,76.66666667,80
2001,66.5,58.33333333,30
2001,89.375,96.66666667,93.33333333
2001,56.25,78.33333333,86.66666667
2001,92.625,84.66666667,86.66666667
2001,73.75,85,93.33333333
2001,44.375,25.83333333,33.33333333
2001,82.5,68,70
2001,85,87.5,90
2001,48.75,50.83333333,23.33333333
2001,82.5,79.16666667,70
2001,58.125,55.83333333,70
2001,98.5,81.66666667,96.66666667
2001,95.625,49.16666667,61.66666667
2001,88.75,86.33333333,86.66666667
2001,75.625,84.16666667,70
2001,76.25,83.33333333,60
2001,88.125,71.66666667,80
2001,65.625,68.33333333,46.66666667
2001,98.875,78.33333333,91.66666667
2001,69.75,60,56.66666667
2001,53.125,45.83333333,56.66666667
2001,60,63.33333333,50
2001,47.75,48.33333333,30
2001,97.25,95,86.66666667
2001,71.875,53.33333333,71.66666667
2001,68.125,58.33333333,40
2001,83.125,86.66666667,80
2001,70,65.83333333,70
2001,38.75,42.5,45
2001,42.5,53.33333333,48.33333333
2001,96.875,85.5,75
2001,98.5,97.5,100
2001,88.125,85,93.33333333
2001,59.375,68.83333333,50
2001,65.625,73.33333333,46.66666667
2001,77.125,88.33333333,78.33333333
2001,86.875,88.33333333,98.33333333
2001,84.5,93.33333333,91.66666667
2001,53.75,55.83333333,60
2001,69.375,88.33333333,76.66666667
2001,79.125,79.16666667,50
2001,57.5,82.5,70
2001,48.75,48.33333333,46.66666667
2001,73.75,90,75
2001,55,64.16666667,48.33333333
2001,86.25,91.66666667,96.66666667
2001,43.75,96.66666667,95
2001,94.375,96.66666667,91.66666667
2001,96.875,90.83333333,96.66666667
2001,88.125,80.83333333,86.66666667
2001,71.875,67.5,61.66666667
2001,35,43.33333333,38.33333333
2001,99.875,90,93.33333333
2001,61.875,65.83333333,60
2001,96.875,98.33333333,100
2001,68.5,60,90
2001,78.125,83.33333333,76.66666667
2001,38.125,36.66666667,41.66666667
2001,66.25,60,73.33333333
2001,89.375,90,90
2002,96.5,100,98
2002,88.5,92,81
2002,84,81,56.5
2002,84.5,78.5,55
2002,75.25,71.5,67
2002,89.5,88,62
2002,88.5,74.5,52
2002,75.75,74,92
2002,69.5,71,64
2002,92.5,84,76
2002,79,67,67
2002,75.75,42.5,70.5
2002,84.75,80.5,63
2002,95.75,100,98
2002,86.5,90,68
2002,86,93,80
2002,43.5,81,92
2002,85.25,89,62
2002,92.5,90,84
2002,95.5,98,92
2002,48,93.5,67
2002,97.5,100,100
2002,51,58,64
2002,89.5,87.5,72
2002,94,93,82
2002,86.5,88,95
2002,74.25,78.5,66
2002,76,92,82.5
2002,82.75,90,87
2002,81,88.5,66
2002,88.5,94,87
2002,89,85,73.5
2002,69,90,80
2002,87,83.5,74
2002,79,74,55.5
2002,87.5,91.5,77.5
2002,87.5,85,83
2002,91.5,86.5,97
2002,50,96,0
2002,76.5,67,87
2002,91.75,75,77
2002,84,78,75
2002,77.75,80.5,86.5
2002,85,85,79
2002,21,0,8
2002,96.5,100,96
2002,82,93,88.5
2002,64.75,36,0
2002,92.5,94,94
2002,95.5,100,99
2002,84.5,93,82
2002,73,71,30
2002,97.5,99,100
2002,78.5,82,87
2002,91,96,71
2002,80.75,78,62
2002,88.75,89.5,72
2002,83.5,79,79
2002,65.5,78,61
2002,94.5,95,80
2002,87.5,90,75
2002,95.5,92.5,96
2002,82.25,68,65
2002,90,94.5,86.5
2002,84.25,82,64
2002,89.5,95,91
2002,97,97.5,97.5
2002,88.5,92,90
2002,62.25,91,74
2002,97.5,98,98
2002,92.75,98.5,83
2002,87,98,96.5
2002,78.5,80.5,66
2002,71.25,75,69.5
2002,81,69.5,38
2002,98,100,98
2002,75.25,70,44
2002,87,99,96
2002,94.5,94,96
2002,85.75,78,62
2002,87.75,72,66.5
2002,84.25,77,80.5
2002,93,100,82
2002,84.25,86,77.5
2002,99.25,100,100
2002,95,98.5,98
2002,75.75,83.5,65
2002,74.5,74.5,65.5
2002,92.5,95.5,87.5
2002,80.5,77,71
2002,92,82,98
2002,89.25,75.5,55
2002,86.5,97.5,97
2002,97,93,98
2002,95,91,89.5
2002,89.75,92,70
2002,75.5,81.5,61.5
2002,94.75,84.5,93.5
2002,80,95,65
2002,93.25,72,87
2002,91.5,98,100
2002,95.75,97,99
2002,79.75,82.5,71
2002,97,100,92
2002,84,90,77
2002,95.25,96,96
2002,85.5,79,63
2002,76,79.5,63.5
2002,92.5,95,77
2002,88,80,68
2003,83.16326,73.36956,53.75
2003,85.20408,94.02173,80
2003,86.22448,100,91.875
2003,88.77551,95.10869,89.375
2003,84.18367,85.32608,48.125
2003,74.99999,92.93478,70
2003,76.53061,60.86956,38.125
2003,92.85714,89.13043,77.5
2003,88.2653,82.60869,76.25
2003,8.16326,53.26086,19.375
2003,89.28571,93.47826,75
2003,87.7551,81.52173,58.75
2003,89.79591,88.58695,33.75
2003,98.97959,97.82608,88.125
2003,90.30612,92.3913,72.5
2003,86.73469,91.30434,58.75
2003,37.7551,3.26086,0
2003,77.55102,81.52173,26.875
2003,91.32653,94.56521,83.125
2003,94.38775,100,95
2003,83.67346,85.86956,60.625
2003,100,93.47826,86.875
2003,96.93877,99.99999,86.875
2003,89.79591,93.47826,79.375
2003,96.93877,83.15217,77.5
2003,92.34693,88.04347,75.625
2003,59.18367,56.52173,24.375
2003,93.87755,97.2826,86.875
2003,77.55102,70.65217,74.375
2003,66.83673,59.23913,26.25
2003,84.69387,78.26086,77.5
2003,91.32653,95.65217,74.375
2003,96.42857,91.84782,91.25
2003,96.42857,100,98.125
2003,64.79591,78.26086,37.5
2003,88.77551,79.8913,83.75
2003,92.85714,96.19565,79.375
2003,78.06122,74.99999,34.375
2003,86.73469,94.56521,68.75
2003,90.81632,77.71739,77.5
2003,91.32653,90.21739,70
2003,76.53061,71.73913,21.25
2003,80.10204,81.52173,43.125
2003,89.79591,74.99999,58.75
2003,65.30612,55.97826,24.375
2003,100,100,70
2003,75.5102,94.02173,83.75
2003,95.40816,100,94.375
2003,61.73469,64.67391,53.75
2003,83.67346,94.02173,76.25
2003,94.89795,95.65217,84.375
2003,62.24489,64.13043,35
2003,100,100,98.75
2003,100,92.3913,89.375
2003,91.83673,95.10869,73.125
2003,82.65306,81.52173,57.5
2003,89.28571,100,81.875
2003,84.69387,97.82608,70
2003,82.65306,72.2826,58.125
2003,93.36734,100,96.25
2003,86.73469,98.36956,58.125
2003,93.36734,97.2826,77.5
2003,94.38775,98.36956,74.375
2003,81.12244,90.21739,74.5
2003,29.59183,17.3913,20.625
2003,95.40816,98.91304,81.25
2003,85.71428,72.2826,42.5
2003,70.91836,79.8913,52.5
2003,86.73469,72.82608,45
2003,87.7551,69.02173,30
2003,84.69387,83.69565,65
2003,89.28571,84.7826,55
2003,62.24489,70.65217,54.375
2003,81.12244,78.26086,57.5
2003,94.89795,94.56521,78.125
2003,96.93877,97.82608,86.875
2003,100,100,84.375
2003,76.0204,60.32608,33.75
2003,89.79591,94.02173,61.25
2003,91.83673,44.56521,60
2003,69.38775,78.26086,17.5
2003,100,100,93.75
2003,100,100,96.875
2003,96.42857,99.99999,94.375
2003,54.59183,52.71739,18.75
2003,87.24489,91.84782,51.875
2003,92.34693,98.91304,85
2003,88.77551,89.13043,66.875
2003,97.95918,100,70
2003,82.65306,80.43478,88.125
2003,86.22448,95.65217,72.5
2003,76.53061,70.65217,53.75
2003,73.97959,91.84782,21.875
2003,90.81632,100,80.625
2003,83.67346,64.67391,47.5
2003,100,100,89.375
2003,80.61224,100,15.625
2003,88.2653,92.93478,75.625
2003,80.10204,80.43478,91.25
2003,88.2653,100,60.625
2003,72.95918,74.99999,40
2003,84.69387,94.56521,76.25
2003,92.85714,93.47826,83.125
2003,76.53061,80.43478,45.625
2003,92.85714,98.26086,77.5
2003,82.65306,82.60869,60
2003,84.18367,76.08695,66.875
2003,82.65306,54.34782,68.75
2003,73.46938,73.91304,18.75
2003,71.93877,59.7826,19.375
2004,82.5,92.27941,35.55555556
2004,90.8125,80.14705,78.33333333
2004,85,80.14705,65
2004,93.125,83.82352,31.11111111
2004,62.1875,58.08823,6.666666667
2004,93.125,100,98.88888889
2004,89.375,69.85294,90
2004,83.125,75.73529,85
2004,21.25,0,0
2004,96.25,100,93.88888889
2004,84.375,93.0147,65
2004,92.5,93.38235,86.11111111
2004,84.0625,54.41176,60.55555556
2004,65.625,59.92647,28.33333333
2004,69.375,55.14705,19.44444444
2004,85.3125,72.05882,30.55555556
2004,63.4375,62.86764,33.33333333
2004,81.5625,79.77941,84.44444444
2004,95,96.69117,73.33333333
2004,90.625,98.89705,96.11111111
2004,64.375,22.05882,17.22222222
2004,24.125,26.83823,10.55555556
2004,70.3125,76.83823,41.66666667
2004,97.1875,88.97058,95
2004,70,60.84558,44.44444444
2004,84.0625,93.0147,80.55555556
2004,78.125,63.23529,15
2004,77.1875,70.40441,74.16666667
2004,89.375,93.38235,74.16666667
2004,73.3125,77.3897,60.55555556
2004,56.875,42.64705,55.55555556
2004,93.75,88.60294,87.22222222
2004,90.3125,92.27941,81.11111111
2004,80.625,87.13235,59.44444444
2004,74.0625,77.57352,41.11111111
2004,90,85.47794,95
2004,41.25,48.52941,2.222222222
2004,92.8125,73.52941,90.55555556
2004,59.0625,63.97058,5.555555556
2004,86.9375,97.05882,0
2004,72.0625,47.79411,38.88888889
2004,58.75,63.23529,12.22222222
2004,73,50.36764,2.222222222
2004,90.625,99.2647,90.55555556
2004,94.3125,99.2647,91.66666667
2004,68.5,72.05882,74.44444444
2004,84.375,87.31617,61.11111111
2004,88.4375,88.41911,85.55555556
2004,73.8125,86.02941,77.22222222
2004,95,100,91.11111111
2004,50.9375,68.38235,10
2004,59.375,72.05882,63.33333333
2004,87.625,91.91176,77.77777778
2004,82.375,81.25,68.88888889
2004,81.5625,70.22058,8.888888889
2004,83.875,80.14705,67.22222222
2004,86.875,87.13235,69.44444444
2004,86.25,57.35294,20
2004,39.375,39.70588,18.88888889
2004,80.3125,40.44117,39.44444444
2004,81.6875,84.00735,45
2004,71.25,74.08088,61.11111111
2004,80,97.79411,79.44444444
2004,78.125,55.88235,34.44444444
2004,88.4375,97.79411,83.88888889
2004,90,85.29411,97.77777778
2004,88.125,100,98.88888889
2004,74.4375,76.47058,43.88888889
2004,76.125,62.5,1.666666667
2004,75,81.25,46.66666667
2004,90,88.60294,46.66666667
2004,84.375,81.61764,65
2004,81.25,73.89705,41.66666667
2004,77.1875,87.13235,61.11111111
2004,66.875,92.64705,30
2004,66.875,80.5147,30
2004,98.125,98.89705,78.88888889
2004,86.25,94.85294,91.11111111
2004,60.3125,81.61764,35.55555556
2004,98.125,100,98.88888889
2004,73.8125,83.45588,75
2004,79.6875,58.08823,62.22222222
2004,94.375,95.22058,96.11111111
2004,79.5,86.02941,70.55555556
2004,89.5625,90.07352,73.88888889
2004,80.6875,82.72058,41.11111111
2004,72.5,65.80882,19.44444444
2004,61.75,90.80882,50.55555556
2004,58.4375,72.79411,35
2004,83.8125,79.77941,52.77777778
2004,82.25,84.55882,51.11111111
2004,41.25,63.23529,25.55555556
2004,64.6875,72.79411,57.77777778
2004,87.5,99.2647,90
2004,86.875,91.17647,53.33333333
2004,64.25,69.11764,27.77777778
2004,85.9375,77.57352,2.777777778
2004,35,18.0147,0
2004,83.4375,98.89705,93.33333333
2004,74.0625,61.7647,12.22222222
2004,85.3125,84.92647,88.88888889
2004,61.25,35.29411,6.111111111
2004,80.625,91.17647,97.77777778
2004,80.9375,66.91176,40
2004,39.375,79.41176,41.11111111
2004,46.875,66.91176,16.66666667
2004,83.4375,44.11764,30.55555556
2004,55.3125,52.94117,39.44444444
2004,95.375,100,87.77777778
2004,41.25,48.71323,36.66666667